time /s	I /nA	
33.000	37.962	
33.100	29.536	
33.200	40.590	
33.300	36.498	
33.400	18.847	
33.500	20.314	
33.600	26.644	
33.700	29.520	
33.800	22.191	
33.900	51.269	
34.000	19.028	
34.100	27.767	
34.200	34.243	
34.300	29.654	
34.400	17.674	
34.500	27.444	
34.600	33.017	
34.700	26.070	
34.800	35.154	
34.900	13.426	
35.000	42.601	
35.100	24.247	
35.200	13.812	
35.300	27.635	
35.400	33.203	
35.500	22.356	
35.600	30.080	
35.700	30.395	
35.800	25.654	
35.900	10.764	
36.000	40.579	
36.100	28.982	
36.200	33.808	
36.300	39.575	
36.400	22.684	
36.500	40.377	
36.600	33.033	
36.700	17.150	
36.800	18.452	
36.900	40.201	
37.000	18.758	
37.100	38.954	
37.200	26.610	
37.300	35.337	
37.400	27.608	
37.500	44.780	
37.600	30.982	
37.700	37.927	
37.800	29.738	
37.900	28.992	
38.000	41.107	
38.100	39.520	
38.200	33.364	
38.300	20.421	
38.400	21.227	
38.500	45.700	
38.600	33.907	
38.700	58.439	
38.800	41.871	
38.900	37.690	
39.000	41.540	
39.100	26.999	
39.200	38.996	
39.300	26.782	
39.400	43.002	
39.500	37.061	
39.600	43.427	
39.700	44.535	
39.800	27.292	
39.900	46.188	
40.000	32.414	
40.100	37.784	
40.200	40.423	
40.300	30.632	
40.400	60.378	
40.500	42.310	
40.600	48.867	
40.700	39.143	
40.800	26.429	
40.900	49.850	
41.000	55.136	
41.100	38.982	
41.200	30.263	
41.300	41.526	
41.400	42.469	
41.500	46.059	
41.600	44.797	
41.700	35.895	
41.800	54.197	
41.900	34.899	
42.000	41.258	
42.100	64.299	
42.200	28.768	
42.300	53.398	
42.400	37.336	
42.500	42.847	
42.600	53.367	
42.700	36.995	
42.800	60.247	
42.900	39.941	
43.000	42.513	
43.100	62.678	
43.200	36.966	
43.300	37.098	
43.400	48.621	
43.500	48.152	
43.600	46.951	
43.700	48.680	
43.800	24.119	
43.900	29.290	
44.000	47.005	
44.100	42.058	
44.200	44.482	
44.300	40.448	
44.400	35.556	
44.500	54.034	
44.600	52.426	
44.700	43.385	
44.800	35.677	
44.900	52.982	
45.000	57.565	
45.100	49.058	
45.200	46.385	
45.300	40.514	
45.400	58.201	
45.500	43.791	
45.600	48.819	
45.700	43.800	
45.800	48.337	
45.900	48.176	
46.000	53.537	
46.100	40.738	
46.200	50.312	
46.300	50.245	
46.400	50.649	
46.500	55.681	
46.600	37.401	
46.700	49.833	
46.800	49.028	
46.900	50.826	
47.000	38.518	
47.100	42.277	
47.200	53.626	
47.300	40.029	
47.400	41.616	
47.500	43.019	
47.600	39.692	
47.700	52.030	
47.800	70.305	
47.900	36.612	
48.000	37.253	
48.100	51.796	
48.200	43.205	
48.300	50.932	
48.400	49.411	
48.500	48.338	
48.600	39.214	
48.700	56.458	
48.800	39.423	
48.900	37.684	
49.000	39.877	
49.100	44.822	
49.200	57.065	
49.300	49.705	
49.400	36.457	
49.500	38.677	
49.600	35.600	
49.700	58.289	
49.800	52.222	
49.900	48.964	
50.000	43.139	
50.100	35.039	
50.200	50.921	
50.300	44.038	
50.400	45.156	
50.500	36.954	
50.600	51.034	
50.700	50.556	
50.800	44.449	
50.900	51.929	
51.000	43.725	
51.100	41.706	
51.200	31.326	
51.300	35.889	
51.400	45.835	
51.500	32.095	
51.600	37.103	
51.700	42.304	
51.800	53.685	
51.900	35.743	
52.000	51.977	
52.100	53.918	
52.200	45.007	
52.300	39.390	
52.400	44.982	
52.500	38.508	
52.600	37.775	
52.700	48.483	
52.800	37.859	
52.900	55.376	
53.000	44.751	
53.100	44.827	
53.200	58.252	
53.300	46.942	
53.400	46.950	
53.500	47.903	
53.600	48.479	
53.700	26.769	
53.800	41.557	
53.900	45.819	
54.000	45.985	
54.100	41.568	
54.200	32.880	
54.300	44.398	
54.400	30.186	
54.500	59.051	
54.600	43.993	
54.700	39.010	
54.800	37.022	
54.900	43.284	
55.000	49.295	
55.100	43.200	
55.200	38.236	
55.300	34.424	
55.400	40.968	
55.500	57.079	
55.600	35.549	
55.700	36.674	
55.800	37.950	
55.900	28.839	
56.000	44.590	
56.100	43.765	
56.200	45.103	
56.300	32.710	
56.400	37.596	
56.500	42.950	
56.600	41.249	
56.700	41.626	
56.800	43.460	
56.900	43.581	
57.000	66.897	
57.100	38.884	
57.200	26.822	
57.300	58.687	
57.400	43.955	
57.500	40.509	
57.600	36.807	
57.700	50.042	
57.800	30.946	
57.900	45.260	
58.000	41.835	
58.100	54.822	
58.200	52.298	
58.300	38.156	
58.400	42.226	
58.500	41.361	
58.600	45.685	
58.700	43.801	
58.800	49.341	
58.900	36.595	
59.000	55.165	
59.100	40.638	
59.200	45.592	
59.300	48.830	
59.400	39.596	
59.500	38.268	
59.600	35.988	
59.700	38.207	
59.800	30.566	
59.900	48.713	
60.000	33.387	
60.100	53.099	
60.200	35.577	
60.300	33.345	
60.400	46.515	
60.500	31.832	
60.600	38.526	
60.700	36.969	
60.800	24.969	
60.900	52.874	
61.000	28.846	
61.100	41.906	
61.200	34.148	
61.300	42.816	
61.400	34.809	
61.500	42.403	
61.600	51.622	
61.700	34.488	
61.800	47.011	
61.900	41.419	
62.000	37.642	
62.100	45.541	
62.200	40.133	
62.300	50.093	
62.400	32.892	
62.500	25.123	
62.600	38.257	
62.700	45.934	
62.800	40.213	
62.900	43.541	
63.000	44.017	
63.100	38.724	
63.200	51.410	
63.300	14.933	
63.400	44.002	
63.500	65.067	
63.600	28.465	
63.700	40.129	
63.800	43.302	
63.900	44.651	
64.000	36.557	
64.100	39.338	
64.200	46.808	
64.300	31.649	
64.400	46.536	
64.500	48.171	
64.600	35.305	
64.700	44.080	
64.800	36.602	
64.900	46.777	
65.000	36.814	
65.100	44.206	
65.200	45.708	
65.300	44.705	
65.400	37.988	
65.500	45.947	
65.600	44.992	
65.700	49.852	
65.800	47.464	
65.900	29.900	
66.000	44.928	
66.100	35.623	
66.200	39.489	
66.300	52.245	
66.400	50.619	
66.500	25.868	
66.600	32.936	
66.700	29.158	
66.800	46.600	
66.900	41.680	
67.000	33.245	
67.100	42.932	
67.200	42.233	
67.300	46.521	
67.400	43.320	
67.500	30.342	
67.600	35.504	
67.700	36.988	
67.800	35.258	
67.900	30.719	
68.000	36.565	
68.100	35.375	
68.200	52.722	
68.300	41.227	
68.400	44.145	
68.500	46.788	
68.600	58.255	
68.700	24.918	
68.800	38.064	
68.900	19.262	
69.000	47.658	
69.100	48.204	
69.200	50.160	
69.300	26.516	
69.400	41.593	
69.500	38.470	
69.600	38.885	
69.700	38.557	
69.800	46.522	
69.900	47.117	
70.000	47.322	
70.100	41.952	
70.200	44.354	
70.300	37.102	
70.400	33.531	
70.500	44.571	
70.600	48.987	
70.700	35.176	
70.800	45.143	
70.900	34.715	
71.000	36.736	
71.100	43.413	
71.200	43.367	
71.300	53.196	
71.400	40.943	
71.500	37.759	
71.600	36.457	
71.700	39.976	
71.800	43.808	
71.900	30.298	
72.000	37.939	
72.100	44.298	
72.200	50.128	
72.300	36.332	
72.400	47.520	
72.500	47.786	
72.600	43.795	
72.700	26.034	
72.800	48.832	
72.900	57.920	
73.000	43.701	
73.100	36.291	
73.200	36.730	
73.300	46.936	
73.400	37.578	
73.500	46.083	
73.600	60.179	
73.700	39.572	
73.800	45.898	
73.900	41.226	
74.000	14.612	
74.100	50.148	
74.200	48.099	
74.300	33.525	
74.400	31.147	
74.500	54.441	
74.600	30.443	
74.700	45.007	
74.800	45.455	
74.900	26.854	
75.000	43.891	
75.100	37.952	
75.200	44.489	
75.300	37.877	
75.400	67.148	
75.500	22.819	
75.600	46.286	
75.700	38.755	
75.800	42.131	
75.900	40.712	
76.000	31.248	
76.100	46.398	
76.200	31.092	
76.300	40.515	
76.400	41.398	
76.500	41.907	
76.600	43.578	
76.700	50.213	
76.800	45.825	
76.900	48.991	
77.000	37.534	
77.100	44.516	
77.200	39.622	
77.300	49.263	
77.400	37.243	
77.500	45.420	
77.600	39.532	
77.700	48.412	
