time /s	I /nA	
35.400	34.062	
35.500	50.100	
35.600	63.263	
35.700	43.432	
35.800	63.535	
35.900	36.958	
36.000	45.231	
36.100	40.172	
36.200	45.890	
36.300	55.444	
36.400	47.536	
36.500	56.917	
36.600	47.464	
36.700	60.935	
36.800	44.295	
36.900	39.930	
37.000	43.792	
37.100	50.803	
37.200	36.729	
37.300	25.209	
37.400	34.218	
37.500	42.224	
37.600	40.339	
37.700	47.104	
37.800	34.111	
37.900	50.200	
38.000	49.026	
38.100	48.420	
38.200	40.765	
38.300	31.106	
38.400	23.310	
38.500	30.069	
38.600	40.768	
38.700	40.322	
38.800	44.078	
38.900	45.198	
39.000	48.083	
39.100	35.304	
39.200	37.634	
39.300	36.315	
39.400	26.360	
39.500	43.395	
39.600	46.480	
39.700	31.324	
39.800	62.291	
39.900	30.694	
40.000	33.245	
40.100	34.889	
40.200	44.444	
40.300	43.265	
40.400	21.595	
40.500	40.800	
40.600	33.729	
40.700	38.491	
40.800	40.019	
40.900	25.178	
41.000	55.094	
41.100	21.480	
41.200	32.197	
41.300	55.318	
41.400	21.890	
41.500	38.249	
41.600	48.233	
41.700	49.742	
41.800	30.331	
41.900	25.861	
42.000	35.913	
42.100	32.642	
42.200	43.097	
42.300	43.349	
42.400	24.810	
42.500	31.090	
42.600	35.285	
42.700	32.543	
42.800	23.115	
42.900	29.898	
43.000	29.796	
43.100	48.298	
43.200	42.590	
43.300	38.661	
43.400	39.979	
43.500	27.336	
43.600	35.627	
43.700	34.803	
43.800	40.831	
43.900	34.226	
44.000	35.637	
44.100	30.416	
44.200	38.409	
44.300	31.248	
44.400	31.053	
44.500	34.815	
44.600	19.020	
44.700	30.892	
44.800	40.546	
44.900	28.913	
45.000	26.123	
45.100	36.596	
45.200	42.830	
45.300	46.541	
45.400	39.122	
45.500	36.789	
45.600	29.705	
45.700	23.650	
45.800	28.131	
45.900	24.406	
46.000	27.791	
46.100	40.660	
46.200	24.995	
46.300	39.016	
46.400	47.161	
46.500	23.722	
46.600	34.052	
46.700	35.925	
46.800	22.967	
46.900	32.917	
47.000	17.671	
47.100	42.946	
47.200	32.242	
47.300	21.897	
47.400	43.693	
47.500	18.066	
47.600	36.462	
47.700	23.352	
47.800	29.212	
47.900	28.767	
48.000	36.897	
48.100	15.641	
48.200	41.516	
48.300	31.243	
48.400	31.104	
48.500	21.818	
48.600	38.511	
48.700	23.350	
48.800	23.920	
48.900	27.674	
49.000	22.580	
49.100	43.829	
49.200	28.359	
49.300	50.932	
49.400	27.794	
49.500	18.001	
49.600	12.974	
49.700	30.203	
49.800	44.317	
49.900	19.745	
50.000	31.654	
50.100	27.452	
50.200	26.352	
50.300	15.716	
50.400	22.050	
50.500	19.268	
50.600	21.721	
50.700	29.166	
50.800	36.652	
50.900	45.502	
51.000	10.085	
51.100	16.070	
51.200	52.649	
51.300	19.615	
51.400	29.305	
51.500	21.700	
51.600	45.908	
51.700	24.577	
51.800	1.319	
51.900	26.952	
52.000	20.652	
52.100	17.371	
52.200	20.158	
52.300	31.555	
52.400	23.641	
52.500	23.028	
52.600	26.895	
52.700	22.663	
52.800	22.174	
52.900	18.988	
53.000	8.523	
53.100	42.227	
53.200	23.296	
53.300	25.710	
53.400	7.270	
53.500	21.797	
53.600	14.438	
53.700	23.309	
53.800	29.869	
53.900	28.402	
54.000	24.838	
54.100	21.352	
54.200	15.352	
54.300	25.253	
