time /s	I /nA	
32.000	-26.406	
32.100	-58.912	
32.200	-39.772	
32.300	-48.335	
32.400	-48.764	
32.500	-30.490	
32.600	-35.387	
32.700	-63.334	
32.800	-45.011	
32.900	-24.542	
33.000	-30.487	
33.100	-31.818	
33.200	-46.561	
33.300	-36.159	
33.400	-34.621	
33.500	-34.159	
33.600	-30.358	
33.700	-50.654	
33.800	-29.589	
33.900	-26.270	
34.000	-41.183	
34.100	-13.093	
34.200	-46.604	
34.300	-41.260	
34.400	-51.983	
34.500	-22.969	
34.600	3.648	
34.700	-32.596	
34.800	-17.336	
34.900	-53.039	
35.000	-42.247	
35.100	-18.231	
35.200	-12.316	
35.300	-19.675	
35.400	-18.163	
35.500	-25.023	
35.600	-28.642	
35.700	-34.109	
35.800	-24.470	
35.900	-17.829	
36.000	-7.301	
36.100	-37.104	
36.200	-40.401	
36.300	-15.157	
36.400	-23.060	
36.500	-14.371	
36.600	1.803	
36.700	-26.901	
36.800	-21.598	
36.900	-20.975	
37.000	0.574	
37.100	-6.640	
37.200	-13.450	
37.300	-13.949	
37.400	-25.906	
37.500	-33.207	
37.600	-11.999	
37.700	-22.451	
37.800	-0.097	
37.900	-36.064	
38.000	-15.774	
38.100	-15.936	
38.200	-22.100	
38.300	-21.804	
38.400	-21.145	
38.500	-16.454	
38.600	-6.997	
38.700	3.020	
38.800	-4.540	
38.900	10.649	
39.000	-25.773	
39.100	-29.509	
39.200	-50.057	
39.300	-15.685	
39.400	-10.958	
39.500	15.142	
39.600	-22.707	
39.700	-13.005	
39.800	-17.914	
39.900	-6.398	
40.000	1.928	
40.100	-12.557	
40.200	-17.724	
40.300	-20.687	
40.400	-25.950	
40.500	-14.432	
40.600	3.985	
40.700	-7.227	
40.800	-17.687	
40.900	-14.555	
41.000	-11.154	
41.100	-0.557	
41.200	-10.625	
41.300	-20.944	
41.400	-11.087	
41.500	-32.441	
41.600	-14.270	
41.700	-3.988	
41.800	6.522	
41.900	-18.137	
42.000	-33.971	
42.100	6.022	
42.200	1.669	
42.300	0.729	
42.400	7.817	
42.500	15.081	
42.600	-31.357	
42.700	-23.292	
42.800	0.124	
42.900	-5.676	
43.000	-16.742	
43.100	0.989	
43.200	-13.876	
43.300	-20.252	
43.400	2.984	
43.500	4.743	
43.600	-6.885	
43.700	-4.709	
43.800	-24.703	
43.900	-5.960	
44.000	-4.027	
44.100	4.715	
44.200	-7.773	
44.300	-21.550	
44.400	-10.200	
44.500	-8.753	
44.600	-28.483	
44.700	-6.243	
44.800	-18.014	
44.900	-0.119	
45.000	-16.565	
45.100	-3.706	
45.200	-13.216	
45.300	8.558	
45.400	-10.611	
45.500	2.969	
45.600	-36.094	
45.700	-10.857	
45.800	8.808	
45.900	5.393	
46.000	-13.720	
46.100	-24.993	
46.200	-14.631	
46.300	28.888	
46.400	1.516	
46.500	-4.097	
46.600	-5.036	
46.700	-17.207	
46.800	-18.417	
46.900	8.044	
47.000	-24.429	
47.100	-26.120	
47.200	-0.937	
47.300	-25.086	
47.400	0.518	
47.500	-21.241	
47.600	17.713	
47.700	-17.192	
47.800	-14.177	
47.900	-23.459	
48.000	-10.180	
48.100	-12.771	
48.200	13.695	
48.300	23.657	
48.400	-31.208	
48.500	-2.981	
48.600	-4.292	
48.700	4.286	
48.800	-40.622	
48.900	6.853	
49.000	-12.673	
49.100	-30.211	
49.200	-19.408	
49.300	10.695	
49.400	11.287	
49.500	4.423	
49.600	-4.950	
49.700	-9.597	
49.800	-8.452	
49.900	-12.010	
50.000	-6.330	
50.100	-6.937	
50.200	-15.924	
50.300	-24.105	
50.400	-9.586	
50.500	23.784	
50.600	-17.392	
50.700	-38.451	
50.800	-9.768	
50.900	-12.641	
51.000	-0.103	
51.100	12.256	
51.200	-7.440	
51.300	7.975	
51.400	-11.022	
51.500	-20.094	
51.600	-14.676	
51.700	26.979	
51.800	-1.567	
51.900	-28.213	
52.000	-12.018	
52.100	5.152	
52.200	-11.516	
52.300	0.672	
52.400	-22.130	
52.500	-6.114	
52.600	19.799	
52.700	-40.839	
52.800	14.510	
52.900	10.960	
53.000	-3.111	
53.100	-2.084	
53.200	16.740	
53.300	3.257	
53.400	-20.376	
53.500	-29.684	
53.600	1.997	
53.700	-6.153	
53.800	-8.785	
53.900	3.249	
54.000	-0.200	
54.100	0.027	
54.200	-9.526	
54.300	-16.534	
54.400	-4.189	
54.500	-15.384	
54.600	-1.279	
54.700	-14.443	
54.800	-7.670	
54.900	-19.565	
55.000	5.895	
55.100	-26.256	
55.200	-5.165	
55.300	14.406	
55.400	12.761	
55.500	0.230	
55.600	-13.555	
55.700	-20.791	
55.800	5.949	
55.900	7.514	
56.000	-1.802	
56.100	-16.734	
56.200	3.796	
56.300	7.533	
56.400	-22.259	
56.500	-6.006	
56.600	-7.949	
56.700	5.735	
56.800	-2.897	
56.900	-2.601	
57.000	3.871	
57.100	0.114	
57.200	-3.280	
57.300	-2.847	
57.400	2.960	
57.500	-0.376	
57.600	6.489	
57.700	9.152	
57.800	-11.092	
57.900	-20.343	
58.000	-21.948	
58.100	17.426	
58.200	9.267	
58.300	1.760	
58.400	-3.486	
58.500	-4.062	
58.600	0.196	
58.700	-1.252	
58.800	15.676	
58.900	-16.262	
59.000	-14.655	
59.100	-1.978	
59.200	25.814	
59.300	13.198	
59.400	-21.638	
59.500	-6.377	
59.600	-5.144	
59.700	-7.118	
59.800	-4.088	
59.900	11.822	
60.000	10.691	
60.100	11.743	
60.200	6.401	
60.300	1.023	
60.400	6.724	
60.500	11.034	
60.600	-10.983	
60.700	11.593	
60.800	-5.402	
60.900	-14.184	
61.000	23.552	
61.100	13.703	
61.200	6.934	
61.300	-6.896	
61.400	-12.702	
61.500	-8.919	
61.600	0.606	
61.700	14.208	
61.800	-5.253	
61.900	-2.910	
62.000	1.095	
62.100	8.305	
62.200	-0.817	
62.300	-2.235	
62.400	-26.181	
62.500	3.782	
62.600	25.660	
62.700	-0.854	
62.800	8.471	
62.900	5.694	
63.000	17.117	
63.100	-1.085	
63.200	-19.756	
63.300	-7.139	
63.400	-1.446	
63.500	-7.528	
63.600	-5.226	
63.700	1.152	
63.800	1.523	
63.900	8.586	
64.000	4.926	
64.100	3.105	
64.200	10.442	
64.300	1.344	
64.400	-4.774	
64.500	14.237	
64.600	16.938	
64.700	20.306	
64.800	5.369	
64.900	-2.603	
65.000	-2.397	
65.100	9.996	
65.200	18.404	
65.300	-7.666	
65.400	-6.753	
65.500	-6.406	
65.600	11.781	
65.700	9.496	
65.800	19.453	
65.900	-4.814	
66.000	-8.090	
66.100	-18.740	
66.200	8.256	
66.300	12.955	
66.400	9.693	
66.500	16.665	
66.600	-7.108	
66.700	14.298	
66.800	-6.270	
66.900	10.740	
67.000	18.187	
67.100	5.675	
67.200	-9.197	
67.300	-11.905	
67.400	11.313	
67.500	19.744	
67.600	9.541	
67.700	-7.707	
67.800	-5.228	
67.900	16.811	
68.000	16.577	
68.100	4.292	
68.200	0.678	
68.300	-14.722	
68.400	-12.695	
68.500	14.637	
68.600	14.852	
68.700	8.167	
68.800	15.182	
68.900	2.354	
69.000	-8.073	
69.100	-8.063	
69.200	19.918	
69.300	19.023	
69.400	-6.900	
69.500	6.473	
