Time - A.ExtT.T (°C)	Temperature (°C) - A.ExtT.T (°C)
17:07:13	31.941
17:07:14	31.942
17:07:15	31.943
17:07:16	31.943
17:07:17	31.942
17:07:18	31.943
17:07:19	31.942
17:07:20	31.945
17:07:21	31.945
17:07:22	31.944
17:07:23	31.944
17:07:24	31.942
17:07:25	31.944
17:07:26	31.945
17:07:27	31.945
17:07:28	31.946
17:07:29	31.945
17:07:30	31.944
17:07:31	31.944
17:07:32	31.944
17:07:33	31.944
17:07:34	31.943
17:07:35	31.945
17:07:36	31.944
17:07:37	31.945
17:07:38	31.944
17:07:39	31.946
17:07:40	31.946
17:07:41	31.946
17:07:42	31.947
17:07:43	31.947
17:07:44	31.947
17:07:45	31.947
17:07:46	31.946
17:07:47	31.946
17:07:48	31.946
17:07:49	31.948
17:07:50	31.949
17:07:51	31.949
17:07:52	31.951
17:07:53	31.947
17:07:54	31.946
17:07:55	31.943
17:07:56	31.944
17:07:57	31.946
17:07:58	31.949
17:07:59	31.948
17:08:00	31.947
17:08:01	31.95
17:08:02	31.952
17:08:03	31.953
17:08:04	31.952
17:08:05	31.95
17:08:06	31.948
17:08:07	31.946
17:08:08	31.946
17:08:09	31.948
17:08:10	31.947
17:08:11	31.95
17:08:12	31.95
17:08:13	31.953
17:08:14	31.95
17:08:15	31.952
17:08:16	31.951
17:08:17	31.952
17:08:18	31.953
17:08:19	31.953
17:08:20	31.953
17:08:21	31.953
17:08:22	31.955
17:08:23	31.955
17:08:24	31.955
17:08:25	31.955
17:08:26	31.957
17:08:27	31.955
17:08:28	31.955
17:08:29	31.953
17:08:30	31.952
17:08:31	31.953
17:08:32	31.956
17:08:33	31.956
17:08:34	31.957
17:08:35	31.955
17:08:36	31.955
17:08:37	31.953
17:08:38	31.956
17:08:39	31.956
17:08:40	31.956
17:08:41	31.956
17:08:42	31.957
17:08:43	31.955
17:08:44	31.954
17:08:45	31.953
17:08:46	31.953
17:08:47	31.954
17:08:48	31.955
17:08:49	31.957
17:08:50	31.957
17:08:51	31.955
17:08:52	31.956
17:08:53	31.953
17:08:54	31.955
17:08:55	31.954
17:08:56	31.956
17:08:57	31.958
17:08:58	31.959
17:08:59	31.961
17:09:00	31.963
17:09:01	31.963
17:09:02	31.962
17:09:03	31.959
17:09:04	31.959
17:09:05	31.959
17:09:06	31.958
17:09:07	31.957
17:09:08	31.956
17:09:09	31.957
17:09:10	31.958
17:09:11	31.959
17:09:12	31.958
17:09:13	31.959
17:09:14	31.959
17:09:15	31.959
17:09:16	31.959
17:09:17	31.96
17:09:18	31.96
17:09:19	31.961
17:09:20	31.961
17:09:21	31.96
17:09:22	31.96
17:09:23	31.959
17:09:24	31.96
17:09:25	31.96
17:09:26	31.963
17:09:27	31.963
17:09:28	31.96
17:09:29	31.956
17:09:30	31.956
17:09:31	31.958
17:09:32	31.961
17:09:33	31.961
17:09:34	31.96
17:09:35	31.959
17:09:36	31.959
17:09:37	31.96
17:09:38	31.961
17:09:39	31.962
17:09:40	31.963
17:09:41	31.964
17:09:42	31.965
17:09:43	31.966
17:09:44	31.964
17:09:45	31.962
17:09:46	31.961
17:09:47	31.962
17:09:48	31.963
17:09:49	31.962
17:09:50	31.964
17:09:51	31.963
17:09:52	31.963
17:09:53	31.963
17:09:54	31.963
17:09:55	31.963
17:09:56	31.964
17:09:57	31.964
17:09:58	31.962
17:09:59	31.96
17:10:00	31.961
17:10:01	31.961
17:10:02	31.962
17:10:03	31.965
17:10:04	31.965
17:10:05	31.965
