Time - A.ExtT.T (°C)	Temperature (°C) - A.ExtT.T (°C)
14:57:08	37.758
14:57:09	37.76
14:57:10	37.761
14:57:11	37.762
14:57:12	37.759
14:57:13	37.76
14:57:14	37.757
14:57:15	37.757
14:57:16	37.759
14:57:17	37.762
14:57:18	37.762
14:57:19	37.759
14:57:20	37.757
14:57:21	37.76
14:57:22	37.763
14:57:23	37.763
14:57:24	37.763
14:57:25	37.763
14:57:26	37.763
14:57:27	37.763
14:57:28	37.764
14:57:29	37.766
14:57:30	37.766
14:57:31	37.766
14:57:32	37.764
14:57:33	37.764
14:57:34	37.763
14:57:35	37.766
14:57:36	37.765
14:57:37	37.767
14:57:38	37.766
14:57:39	37.764
14:57:40	37.765
14:57:41	37.764
14:57:42	37.766
14:57:43	37.768
14:57:44	37.768
14:57:45	37.766
14:57:46	37.762
14:57:47	37.763
14:57:48	37.764
14:57:49	37.768
14:57:50	37.77
14:57:51	37.771
14:57:52	37.769
14:57:53	37.769
14:57:54	37.769
14:57:55	37.771
14:57:56	37.773
14:57:57	37.772
14:57:58	37.773
14:57:59	37.771
14:58:00	37.771
14:58:01	37.771
14:58:02	37.772
14:58:03	37.775
14:58:04	37.774
14:58:05	37.772
14:58:06	37.769
14:58:07	37.768
14:58:08	37.771
14:58:09	37.772
14:58:10	37.774
14:58:11	37.774
14:58:12	37.773
14:58:13	37.769
14:58:14	37.768
14:58:15	37.77
14:58:16	37.774
14:58:17	37.776
14:58:18	37.775
14:58:19	37.773
14:58:20	37.771
14:58:21	37.774
14:58:22	37.775
14:58:23	37.777
14:58:24	37.776
14:58:25	37.775
14:58:26	37.773
14:58:27	37.772
14:58:28	37.772
14:58:29	37.774
14:58:30	37.779
14:58:31	37.779
14:58:32	37.776
14:58:33	37.774
14:58:34	37.773
14:58:35	37.775
14:58:36	37.778
14:58:37	37.779
14:58:38	37.779
14:58:39	37.778
14:58:40	37.775
14:58:41	37.776
14:58:42	37.776
14:58:43	37.78
14:58:44	37.78
14:58:45	37.78
14:58:46	37.778
14:58:47	37.778
14:58:48	37.776
14:58:49	37.777
14:58:50	37.78
14:58:51	37.781
14:58:52	37.779
14:58:53	37.779
14:58:54	37.78
14:58:55	37.782
14:58:56	37.784
14:58:57	37.782
14:58:58	37.781
14:58:59	37.781
14:59:00	37.779
14:59:01	37.78
14:59:02	37.781
14:59:03	37.784
14:59:04	37.784
14:59:05	37.783
14:59:06	37.782
14:59:07	37.781
14:59:08	37.784
14:59:09	37.785
14:59:10	37.787
14:59:11	37.787
14:59:12	37.787
14:59:13	37.785
14:59:14	37.784
14:59:15	37.786
14:59:16	37.786
14:59:17	37.786
14:59:18	37.783
14:59:19	37.783
14:59:20	37.783
14:59:21	37.783
14:59:22	37.784
14:59:23	37.785
14:59:24	37.787
14:59:25	37.785
14:59:26	37.785
14:59:27	37.784
14:59:28	37.785
14:59:29	37.786
14:59:30	37.786
14:59:31	37.79
14:59:32	37.788
14:59:33	37.785
14:59:34	37.783
14:59:35	37.782
14:59:36	37.783
14:59:37	37.784
14:59:38	37.781
14:59:39	37.783
14:59:40	37.78
14:59:41	37.783
14:59:42	37.783
14:59:43	37.787
14:59:44	37.789
14:59:45	37.789
14:59:46	37.786
14:59:47	37.784
14:59:48	37.784
14:59:49	37.787
14:59:50	37.788
14:59:51	37.788
14:59:52	37.786
14:59:53	37.785
14:59:54	37.784
14:59:55	37.785
14:59:56	37.785
14:59:57	37.786
14:59:58	37.784
14:59:59	37.784
15:00:00	37.784
15:00:01	37.785
15:00:02	37.785
15:00:03	37.787
15:00:04	37.787
15:00:05	37.787
15:00:06	37.785
15:00:07	37.783
15:00:08	37.783
15:00:09	37.782
15:00:10	37.786
15:00:11	37.785
15:00:12	37.786
15:00:13	37.785
15:00:14	37.784
15:00:15	37.785
15:00:16	37.784
15:00:17	37.784
15:00:18	37.784
15:00:19	37.78
15:00:20	37.778
15:00:21	37.779
15:00:22	37.782
15:00:23	37.785
15:00:24	37.787
15:00:25	37.786
15:00:26	37.784
15:00:27	37.782
15:00:28	37.782
15:00:29	37.786
15:00:30	37.789
15:00:31	37.788
15:00:32	37.784
15:00:33	37.782
15:00:34	37.782
15:00:35	37.784
15:00:36	37.784
15:00:37	37.784
15:00:38	37.784
15:00:39	37.782
15:00:40	37.782
15:00:41	37.783
15:00:42	37.782
15:00:43	37.784
15:00:44	37.785
15:00:45	37.784
15:00:46	37.782
15:00:47	37.779
15:00:48	37.781
15:00:49	37.787
15:00:50	37.789
15:00:51	37.787
15:00:52	37.785
15:00:53	37.782
15:00:54	37.781
15:00:55	37.784
15:00:56	37.787
15:00:57	37.79
15:00:58	37.786
15:00:59	37.783
15:01:00	37.782
15:01:01	37.782
15:01:02	37.785
15:01:03	37.786
15:01:04	37.785
15:01:05	37.782
15:01:06	37.783
15:01:07	37.782
