sample1,,
Wavelength (nm),Abs,
799.9875488,1.946668453E-005,
798.9840698,-0.0002330664865,
798.0148315,-5.197591236E-005,
797.010498,0.0004427721433,
796.0059204,3.036530325E-005,
795.0009155,0.0001297339622,
793.9953613,-0.0001666219032,
792.989563,0.0002042624255,
791.9832764,0.0009519895539,
791.0113525,-0.0007713894011,
790.0042114,0.0002056609374,
788.9967651,2.143411075E-005,
787.9888916,0.0004467626568,
787.0154419,0.0004968546564,
786.0067749,-7.537339843E-005,
784.9977417,0.000336078112,
783.9883423,0.0007010138943,
783.0133057,0.00057626731,
782.0031128,0.0001118158907,
780.9924316,-5.176884952E-005,
780.0162964,-0.0001192661657,
779.0049438,0.0005262179766,
777.9931641,2.562718464E-006,
777.0158691,0.0004291165387,
776.0032959,0.0004104606051,
774.9903564,0.0003752238408,
774.0119629,0.0001713212405,
772.99823,-5.813599273E-005,
771.9841309,0.0004555989581,
771.0045776,0.0002146736078,
769.9896851,0.0004303861933,
769.0093994,-5.803246313E-005,
767.9937134,-0.0002404658298,
767.0127563,0.0001187551752,
765.9962769,0.0003037227143,
765.0145264,-6.181128992E-005,
763.9973755,0.0003918832226,
763.0148926,0.0004477473558,
761.9969482,0.0006702386891,
761.0137329,-0.0001159019012,
759.9949951,0.0003375288507,
759.0111084,0.0001848651591,
757.9915771,0.0003313373309,
757.006958,0.0005799739156,
755.9866943,0.0005847692373,
755.0012817,0.0004031798453,
754.0155029,0.0003182033252,
752.9942017,0.000605558278,
752.0076294,7.875225856E-005,
750.9855957,0.0001978656364,
749.9984131,0.00010989984,
749.0108643,-5.306299499E-005,
747.9876709,0.0003648865386,
746.9993286,0.0004969323636,
746.0107422,0.0003889295622,
744.9863892,0.0001791160612,
743.9970093,4.68043545E-005,
743.0073242,-0.0003165217931,
742.0172729,0.0001156480139,
740.9914551,0.0003587723477,
740.0006714,0.0006509242812,
739.0095825,0.0003086963261,
737.982666,0.0001532201859,
736.9908447,0.0001429658441,
