time /s	I /nA	
0.100	0.437	
0.200	-9.047	
0.300	0.256	
0.400	-11.920	
0.500	-3.894	
0.600	-4.185	
0.700	1.350	
0.800	-8.896	
0.900	-12.659	
1.000	-12.974	
1.100	3.286	
1.200	4.156	
1.300	-26.309	
1.400	-8.794	
1.500	-5.845	
1.600	2.511	
1.700	-13.375	
1.800	-7.975	
1.900	-10.310	
2.000	-17.164	
2.100	5.573	
2.200	-6.735	
2.300	-29.910	
2.400	-14.811	
2.500	-5.531	
2.600	-2.102	
2.700	-4.688	
2.800	0.564	
2.900	-5.639	
3.000	-1.746	
3.100	-21.909	
3.200	-13.872	
3.300	-12.505	
3.400	-12.688	
3.500	-11.384	
3.600	-11.396	
3.700	-4.982	
3.800	-7.426	
3.900	2.680	
4.000	-7.949	
4.100	-20.485	
4.200	-12.605	
4.300	-9.302	
4.400	-14.449	
4.500	-7.961	
4.600	-12.759	
4.700	-26.488	
4.800	-12.315	
4.900	-6.407	
5.000	6.564	
5.100	-18.355	
5.200	-12.874	
5.300	-8.299	
5.400	-4.298	
5.500	-9.357	
5.600	-8.379	
5.700	-20.629	
5.800	3.298	
5.900	-14.754	
6.000	-13.441	
6.100	-1.425	
6.200	-16.642	
6.300	-3.327	
6.400	-6.570	
6.500	-8.005	
6.600	-17.295	
6.700	-17.978	
6.800	4.184	
6.900	-10.774	
7.000	-17.506	
7.100	-8.528	
7.200	10.351	
7.300	-7.921	
7.400	-16.977	
7.500	0.578	
7.600	-18.823	
7.700	-0.854	
7.800	-10.012	
7.900	-14.982	
8.000	-7.837	
8.100	-13.719	
8.200	10.284	
8.300	-9.373	
8.400	-19.043	
8.500	-13.181	
8.600	-13.130	
8.700	-14.312	
8.800	-4.264	
8.900	0.919	
9.000	-3.754	
9.100	-9.279	
9.200	-4.625	
9.300	-4.472	
9.400	-20.601	
9.500	-0.867	
9.600	-4.560	
9.700	-8.658	
9.800	-3.603	
9.900	-19.643	
10.000	-6.168	
10.100	-16.933	
10.200	-3.585	
10.300	-22.794	
10.400	-12.464	
10.500	-13.281	
10.600	-2.354	
10.700	-15.577	
10.800	-8.420	
10.900	-1.514	
11.000	-7.377	
11.100	-23.372	
11.200	-11.239	
11.300	-9.947	
11.400	9.173	
11.500	-14.306	
11.600	-10.567	
11.700	-12.283	
11.800	-3.655	
11.900	-11.803	
12.000	-12.907	
12.100	-30.263	
12.200	-15.432	
12.300	-14.444	
12.400	4.918	
12.500	-8.174	
12.600	-11.165	
12.700	-17.358	
12.800	-0.032	
12.900	-6.938	
13.000	5.680	
13.100	-7.991	
13.200	-25.179	
13.300	-5.076	
13.400	-18.129	
13.500	-6.300	
13.600	-6.115	
13.700	-23.898	
13.800	-4.389	
13.900	4.277	
14.000	-15.422	
14.100	-9.218	
14.200	-26.940	
14.300	-6.966	
14.400	-5.709	
14.500	-6.127	
14.600	-21.075	
14.700	-5.069	
14.800	-17.689	
14.900	-7.845	
15.000	2.058	
15.100	-11.705	
15.200	-3.987	
15.300	-18.313	
15.400	-9.342	
15.500	-9.612	
15.600	-10.622	
15.700	-13.379	
15.800	-9.383	
15.900	-8.249	
16.000	-11.856	
16.100	-3.569	
16.200	-15.988	
16.300	-14.042	
16.400	-11.676	
16.500	2.500	
16.600	-22.686	
16.700	-8.556	
16.800	-8.278	
16.900	-2.610	
17.000	-10.471	
17.100	-7.092	
17.200	-10.082	
17.300	-0.597	
17.400	-10.599	
17.500	-7.881	
17.600	-7.604	
17.700	1.832	
17.800	4.414	
17.900	-16.234	
18.000	-19.946	
18.100	4.241	
18.200	0.461	
18.300	-25.160	
18.400	1.447	
18.500	-8.229	
18.600	3.893	
18.700	-11.542	
18.800	-11.868	
18.900	-18.798	
19.000	-5.781	
19.100	-16.888	
19.200	-8.045	
19.300	3.722	
19.400	-13.212	
19.500	-8.140	
19.600	-1.247	
19.700	-22.102	
19.800	-3.708	
19.900	-16.217	
20.000	-11.033	
20.100	-1.534	
20.200	-13.229	
20.300	-9.300	
20.400	-19.990	
20.500	-8.435	
20.600	-22.126	
20.700	2.803	
20.800	-17.657	
20.900	-9.290	
21.000	-0.318	
