time /s	I /nA	
35.500	72.024	
35.600	81.073	
35.700	54.225	
35.800	74.233	
35.900	74.233	
36.000	58.236	
36.100	65.442	
36.200	73.688	
36.300	74.080	
36.400	60.222	
36.500	66.863	
36.600	79.625	
36.700	62.574	
36.800	67.087	
36.900	70.174	
37.000	73.772	
37.100	66.679	
37.200	72.101	
37.300	67.564	
37.400	65.367	
37.500	63.381	
37.600	65.245	
37.700	65.742	
37.800	61.880	
37.900	58.086	
38.000	64.243	
38.100	80.428	
38.200	73.596	
38.300	68.001	
38.400	80.255	
38.500	67.182	
38.600	57.189	
38.700	69.329	
38.800	62.971	
38.900	69.789	
39.000	55.305	
39.100	76.443	
39.200	78.985	
39.300	75.216	
39.400	78.167	
39.500	58.245	
39.600	73.938	
39.700	54.877	
39.800	66.484	
39.900	71.703	
40.000	52.528	
40.100	46.625	
40.200	60.483	
40.300	68.113	
40.400	87.370	
40.500	73.382	
40.600	62.712	
40.700	71.871	
40.800	71.516	
40.900	47.057	
41.000	52.285	
41.100	66.240	
41.200	69.354	
41.300	55.640	
41.400	76.517	
41.500	68.938	
41.600	60.128	
41.700	82.046	
41.800	50.959	
41.900	72.711	
42.000	63.519	
42.100	60.537	
42.200	79.511	
42.300	70.109	
42.400	60.777	
42.500	74.930	
42.600	68.199	
42.700	66.047	
42.800	69.133	
42.900	70.877	
43.000	69.058	
43.100	78.799	
43.200	54.802	
43.300	75.642	
43.400	63.451	
43.500	70.243	
43.600	55.537	
43.700	72.172	
43.800	60.418	
43.900	65.837	
44.000	64.123	
44.100	55.156	
44.200	64.917	
44.300	73.544	
44.400	55.021	
44.500	66.513	
44.600	68.748	
44.700	75.151	
44.800	57.648	
44.900	70.658	
45.000	67.920	
45.100	67.076	
45.200	69.648	
45.300	66.526	
45.400	55.515	
45.500	77.562	
45.600	59.416	
45.700	66.039	
45.800	65.209	
45.900	69.051	
46.000	56.939	
46.100	51.841	
46.200	75.547	
46.300	63.799	
46.400	52.762	
46.500	67.037	
46.600	62.444	
46.700	72.613	
46.800	73.119	
46.900	56.324	
47.000	58.996	
47.100	69.450	
47.200	47.168	
47.300	52.914	
47.400	66.416	
47.500	76.592	
47.600	67.748	
47.700	63.075	
47.800	50.107	
47.900	52.554	
48.000	50.481	
48.100	74.000	
48.200	69.750	
48.300	62.321	
48.400	58.460	
48.500	51.709	
48.600	78.267	
48.700	58.974	
48.800	68.446	
48.900	67.487	
49.000	58.685	
49.100	60.560	
49.200	60.955	
49.300	65.762	
49.400	70.763	
49.500	57.396	
49.600	57.667	
49.700	54.270	
49.800	61.173	
49.900	56.337	
50.000	64.596	
50.100	51.369	
50.200	60.882	
50.300	65.830	
50.400	76.189	
50.500	61.235	
50.600	64.582	
50.700	69.710	
50.800	59.776	
50.900	64.337	
51.000	50.808	
51.100	62.895	
51.200	65.322	
51.300	71.178	
51.400	60.563	
51.500	56.955	
51.600	61.173	
51.700	56.852	
51.800	47.566	
51.900	60.956	
52.000	53.590	
52.100	84.799	
52.200	58.256	
52.300	80.088	
52.400	60.698	
52.500	56.490	
52.600	66.930	
52.700	52.228	
52.800	75.952	
52.900	61.424	
53.000	54.932	
53.100	67.104	
53.200	67.383	
53.300	70.241	
53.400	67.227	
53.500	50.182	
53.600	46.746	
53.700	52.124	
53.800	77.286	
53.900	52.382	
54.000	67.087	
54.100	62.696	
54.200	64.482	
54.300	62.647	
54.400	63.307	
54.500	51.714	
54.600	67.177	
54.700	61.831	
54.800	62.695	
54.900	64.543	
55.000	60.315	
55.100	67.536	
55.200	63.449	
55.300	72.683	
55.400	74.812	
55.500	55.041	
55.600	58.308	
55.700	70.177	
55.800	69.316	
55.900	62.683	
56.000	55.593	
56.100	59.664	
56.200	59.470	
56.300	57.641	
56.400	68.312	
56.500	59.828	
56.600	62.462	
56.700	54.900	
56.800	49.413	
56.900	61.653	
57.000	71.139	
57.100	62.879	
57.200	63.563	
57.300	73.412	
57.400	57.383	
57.500	72.856	
57.600	65.706	
57.700	65.779	
57.800	77.089	
57.900	50.410	
58.000	60.561	
58.100	64.332	
58.200	44.151	
58.300	59.932	
58.400	61.089	
58.500	76.118	
58.600	41.288	
58.700	71.410	
58.800	62.092	
58.900	65.042	
59.000	63.133	
59.100	63.178	
59.200	60.012	
59.300	53.574	
59.400	64.923	
59.500	53.132	
59.600	46.493	
59.700	72.996	
59.800	51.197	
59.900	71.179	
60.000	63.116	
60.100	60.845	
60.200	57.803	
60.300	74.365	
60.400	56.574	
60.500	55.680	
60.600	67.253	
60.700	59.475	
60.800	48.813	
60.900	67.370	
